ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
428,Serialize and Deserialize N-ary Tree,59.4%,Hard,0.3333026618599339, https://leetcode.com/problems/serialize-and-deserialize-n-ary-tree
333,Largest BST Subtree,35.8%,Medium,0.3293149705501392, https://leetcode.com/problems/largest-bst-subtree
560,Subarray Sum Equals K,43.9%,Medium,0.3271780031910384, https://leetcode.com/problems/subarray-sum-equals-k
32,Longest Valid Parentheses,28.4%,Hard,0.3269467909737243, https://leetcode.com/problems/longest-valid-parentheses
794,Valid Tic-Tac-Toe State,32.6%,Medium,0.326763422494252, https://leetcode.com/problems/valid-tic-tac-toe-state
695,Max Area of Island,62.7%,Medium,0.3265743415826301, https://leetcode.com/problems/max-area-of-island
518,Coin Change 2,50.2%,Medium,0.3230559088356136, https://leetcode.com/problems/coin-change-2
901,Online Stock Span,60.2%,Medium,0.3225465062722876, https://leetcode.com/problems/online-stock-span
1311,Get Watched Videos by Your Friends,43.1%,Medium,0.320742934712669, https://leetcode.com/problems/get-watched-videos-by-your-friends
547,Friend Circles,58.6%,Medium,0.3164103148243594, https://leetcode.com/problems/friend-circles
710,Random Pick with Blacklist,32.5%,Hard,0.3161972427598021, https://leetcode.com/problems/random-pick-with-blacklist
135,Candy,31.6%,Hard,0.3148768941781284, https://leetcode.com/problems/candy
102,Binary Tree Level Order Traversal,54.6%,Medium,0.3108352169668257, https://leetcode.com/problems/binary-tree-level-order-traversal
72,Edit Distance,44.8%,Hard,0.3092819909823789, https://leetcode.com/problems/edit-distance
41,First Missing Positive,32.0%,Hard,0.3088033158177097, https://leetcode.com/problems/first-missing-positive
185,Department Top Three Salaries,34.5%,Hard,0.3067091029533853, https://leetcode.com/problems/department-top-three-salaries
10,Regular Expression Matching,26.8%,Hard,0.3026257535192428, https://leetcode.com/problems/regular-expression-matching
205,Isomorphic Strings,39.8%,Easy,0.3010180062634084, https://leetcode.com/problems/isomorphic-strings
854,K-Similar Strings,38.2%,Hard,0.3001856330111831, https://leetcode.com/problems/k-similar-strings
703,Kth Largest Element in a Stream,49.7%,Easy,0.3000268349758617, https://leetcode.com/problems/kth-largest-element-in-a-stream
1244,Design A Leaderboard,60.7%,Medium,0.296819464701219, https://leetcode.com/problems/design-a-leaderboard
1229,Meeting Scheduler,52.7%,Medium,0.2955601745092634, https://leetcode.com/problems/meeting-scheduler
134,Gas Station,38.5%,Medium,0.2930303597451174, https://leetcode.com/problems/gas-station
1031,Maximum Sum of Two Non-Overlapping Subarrays,57.9%,Medium,0.2928670946738281, https://leetcode.com/problems/maximum-sum-of-two-non-overlapping-subarrays
1275,Find Winner on a Tic Tac Toe Game,52.8%,Easy,0.2924262358737592, https://leetcode.com/problems/find-winner-on-a-tic-tac-toe-game
658,Find K Closest Elements,40.9%,Medium,0.2920694188814068, https://leetcode.com/problems/find-k-closest-elements
261,Graph Valid Tree,42.2%,Medium,0.2909599962484513, https://leetcode.com/problems/graph-valid-tree
1166,Design File System,56.8%,Medium,0.2897807091087021, https://leetcode.com/problems/design-file-system
699,Falling Squares,41.8%,Hard,0.2856138193877219, https://leetcode.com/problems/falling-squares
417,Pacific Atlantic Water Flow,41.1%,Medium,0.2794243872127994, https://leetcode.com/problems/pacific-atlantic-water-flow
410,Split Array Largest Sum,44.5%,Hard,0.2778297760087693, https://leetcode.com/problems/split-array-largest-sum
1172,Dinner Plate Stacks,38.2%,Hard,0.2711095169699942, https://leetcode.com/problems/dinner-plate-stacks
1120,Maximum Average Subtree,61.9%,Medium,0.2694761079552085, https://leetcode.com/problems/maximum-average-subtree
409,Longest Palindrome,50.3%,Easy,0.268782121321297, https://leetcode.com/problems/longest-palindrome
19,Remove Nth Node From End of List,35.2%,Medium,0.2685901769658948, https://leetcode.com/problems/remove-nth-node-from-end-of-list
773,Sliding Puzzle,59.3%,Hard,0.2632906193276217, https://leetcode.com/problems/sliding-puzzle
